"CASE_ID"	"STUDY_ID"	"FOREST_NR"	"FOREST_NAME"	"AUTHOR"	"YEAR"	"PEER_OR_GREY"	"DAMAGE_OR_HERBIVORES"	"UNITY"	"HERBIVORE_GUILD"	"HERBIVORE_SPECIES"	"HERBIVORE_SPECIFICITY"	"TREE_DIV_METRIC"	"SAMPLING_ON"	"BETA_ESTIMATE"	"R_SQUARE"	"R_SQUARE_ADJUSTED"	"P_VALUE"	"PLOT_NUMBER"	"MIN_RICH"	"MAX_RICH"	"MAX_DAMAGE_FOR_STANDARD"	"NATURAL_OR_PLANTATIONS"	"SURROUNDING"	"AGE_FOREST"	"FORMER_LAND_USE"	"GPS_DEZ_X"	"GPS_DEZ_Y"	"ALTITUDE"	"ECOREGION"	"FOCAL_SPECIES"	"JUST_FOCAL"	"PLOT_SIZE"	"X"	"bio1"
"64"	64	166	2	"Solling Mountains"	"Heiermann_SchÅtz"	2008	"peer"	"abundance"	"abunance"	"insects"	"Lymantria monarcha"	""	"shannon"	"traps"	-29,97	0,006941	-0,02853	0,6672	5	1	2	NA	"forest"	"mosaic"	NA	"mosaic"	9,570439	51,731769	460	"temperate"	"pooled"	"pooled"	NA	""	7,29407120000005
"65"	65	175	1	"Gutianshan National Nature Reserve"	"Schuldt_al"	2010	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"species_richness"	"trees"	0,10223	0,2214	0,1903	0,01324	27	25	68	"100,00000000"	"forest"	"forest"	200	"forest"	118,117085	29,233397	510	"subtropical"	"pooled"	"pooled"	"900,00000000"	""	15,5299705223356
"66"	66	177	1	"Corsica"	"Jactel_al"	2006	"peer"	"abundance"	"density"	"insects"	"Matsucoccus feytaudi"	"o"	"shannon"	"trees"	-13,186	0,3875	0,311	0,05458	10	1	2	NA	"plantation"	"mosaic"	NA	NA	9,149741	42,433807	570	"mediterranean"	"Pinus pineaster"	"yes"	"trap"	""	12,6595853892101
"67"	67	184	1	"Sevogle Forest"	"Su_al"	1996	"peer"	"damage"	"percentage_damage"	"insects"	"Choristoneura fumiferana"	"o"	"shannon"	"trees"	-26,83	0,6996	0,5995	0,07744	5	3	6	"100,00000000"	"forest"	"mosaic"	NA	NA	-65,692893	47,628721	30	"temperate"	"Abies balsamea"	"yes"	"490,87400000"	""	4,47942932046721
"68"	68	189	1	"Great Bear Springs Water Co"	"Belyea"	1923	"grey"	"abundance"	"amount_of_trees_infected"	"insects"	"Pissodes strobi"	""	"shannon"	"trees"	-460,9	0,1747	-0,6507	0,7255	3	1	2	NA	"plantation"	"mosaic"	12	NA	-76,417158	43,322846	110	"temperate"	"pooled"	"pooled"	"20234,28000000"	""	8,1757552001536
"69"	69	214	1	"Mata Seca State Park"	"Neves_al"	2014	"peer"	"richness"	"species_richnes"	"insects"	"pooled"	""	"species_richness"	"trees"	0	1	0	1	14	7	19	NA	"forest"	"forest"	200	"forest"	-43,987743	-14,839805	480	"tropical"	"pooled"	"pooled"	"1000,00000000"	"based on the information that no correlation was found, but exact values are missing in the paper"	24,3
"70"	70	214	1	"Mata Seca State Park"	"Neves_al"	2014	"peer"	"richness"	"species_richnes"	"insects"	"pooled"	""	"species_richness"	"trees"	0,4296	1	0,1926	0,06572	14	7	19	"Na"	"forest"	"forest"	200	"forest"	-43,987743	-14,839805	480	"tropical"	"pooled"	"pooled"	"1000,00000000"	""	24,3
"71"	71	215	1	"BEF China"	"Schuldt_al"	2014	"grey"	"damage"	"damage"	"insects"	"pooled"	""	"shannon"	"trees"	-0,188	0,003424	-0,01265	0,646	64	1	24	NA	"plantation"	"mosaic"	2	"forest"	117,908431	29,124896	190	"subtropical"	"pooled"	"pooled"	"666,70000000"	""	17,1853065349376
"72"	72	217	1	"Mehrstedt"	"Don_al"	2007	"grey"	"damage"	"percentage_damage"	"mammals"	"Arvicola terrestris"	""	"shannon"	"trees"	-1,07940597	0,0049986	-0,07791818	0,81019573	14	2	6	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	10,666247	51,267392	270	"temperate"	"Acer platanoides"	"yes"	"10000,00000000"	""	7,89190717332479
"73"	73	217	1	"Mehrstedt"	"Don_al"	2007	"grey"	"damage"	"percentage_damage"	"mammals"	"Arvicola terrestris"	""	"shannon"	"trees"	-3,06484744	0,01018468	-0,07229993	0,73138967	14	2	6	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	10,666247	51,267392	270	"temperate"	"Quercus petraea"	"yes"	"10000,00000000"	""	7,89190717332479
"74"	74	217	1	"Mehrstedt"	"Don_al"	2007	"grey"	"damage"	"percentage_damage"	"mammals"	"Arvicola terrestris"	""	"shannon"	"trees"	0,18193041	9,776e-05	-0,08322742	0,97323831	14	2	6	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	10,666247	51,267392	270	"temperate"	"Fagus sylvatica"	"yes"	"10000,00000000"	""	7,89190717332479
"75"	75	217	1	"Mehrstedt"	"Don_al"	2007	"grey"	"damage"	"percentage_damage"	"mammals"	"Arvicola terrestris"	""	"shannon"	"trees"	-0,88561128	0,01485176	-0,06724392	0,67812203	14	2	6	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	10,666247	51,267392	270	"temperate"	"Tillia cordata"	"yes"	"10000,00000000"	""	7,89190717332479
"76"	76	218	1	"Various"	"Clements"	1917	"grey"	"abundance"	"abundance"	"insects"	"Porthetria dispar"	""	"shannon"	"trees"	-11628	0,3744	0,2181	0,1967	6	4	11	NA	"forest"	"mosaic"	NA	NA	-70,701083	41,774435	20	"temperate"	"pooled"	"pooled"	NA	""	9,89417387484801
"77"	77	7	1	"Central Victoria"	"Barton_al"	2013	"peer"	"richness"	"species_richnes"	"insects"	"lepidoptera"	""	"shannon"	"trees"	-0,5914	0,1636	0,09923	0,1348	15	1	2	NA	"plantation"	"mosaic"	8	"forest"	144,250461	-36,702989	230	"temperate"	"Eucalyptus microcarpa"	"yes"	NA	""	14,5935444887103
"78"	78	7	1	"Central Victoria"	"Barton_al"	2013	"peer"	"richness"	"species_richnes"	"insects"	"psyllidae"	""	"shannon"	"trees"	-3,0631	0,5774	0,5449	0,001011	15	1	2	NA	"plantation"	"mosaic"	8	"forest"	144,250461	-36,702989	230	"temperate"	"Eucalyptus microcarpa"	"yes"	NA	""	14,5935444887103
"79"	79	7	1	"Central Victoria"	"Barton_al"	2013	"peer"	"abundance"	"abundance"	"insects"	"lepidoptera"	""	"shannon"	"trees"	5,223	0,02802	-0,04674	0,551	15	1	2	NA	"plantation"	"mosaic"	8	"forest"	144,250461	-36,702989	230	"temperate"	"Eucalyptus microcarpa"	"yes"	NA	""	14,5935444887103
"80"	80	7	1	"Central Victoria"	"Barton_al"	2013	"peer"	"abundance"	"abundance"	"insects"	"psyllidae"	""	"shannon"	"trees"	-2,587	0,03628	-0,03785	0,4965	15	1	2	NA	"plantation"	"mosaic"	8	"forest"	144,250461	-36,702989	230	"temperate"	"Eucalyptus microcarpa"	"yes"	NA	""	14,5935444887103
"81"	81	8	1	"Andrews Experimental Forest and Cascade Head Experiment"	"Schaerer"	2000	"grey"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	-0,202	0,111	0,02207	0,29	12	1	2	"100,00000000"	"plantation"	"forest"	12	"forest"	-122,15	44,25	520	"temperate"	"Pseudotsuga menziesii "	"yes"	"730,00000000"	""	6,30499999999996
"82"	82	8	1	"Andrews Experimental Forest and Cascade Head Experiment"	"Schaerer"	2000	"grey"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	0,1443	0,001205	-0,09867	0,9147	12	1	2	"100,00000000"	"plantation"	"forest"	12	"forest"	-122,15	44,25	520	"temperate"	"Alnus rubra"	"yes"	"730,00000000"	""	6,30499999999996
"83"	83	13	1	"Sardinilla Experiment"	"Plath_al"	2012	"peer"	"abundance"	"density"	"insects"	"Walterianella inscripta"	""	"shannon"	"trees"	-0,20999	0,3854	0,3086	0,05545	5	1	3	NA	"plantation"	"mosaic"	3	"grassland"	-79,63333333	9,325	100	"tropical"	"Tabebuia rosea"	"yes"	"100,00000000"	""	25,6269999992
"84"	84	13	1	"Sardinilla Experiment"	"Plath_al"	2012	"peer"	"abundance"	"density"	"insects"	"Eulepte gastralis"	""	"shannon"	"trees"	0,25286	0,4687	0,4023	0,02895	5	1	3	NA	"plantation"	"mosaic"	3	"grassland"	-79,63333333	9,325	100	"tropical"	"Tabebuia rosea"	"yes"	"100,00000000"	""	25,6269999992
"85"	85	13	1	"Sardinilla Experiment"	"Plath_al"	2012	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	3,646	0,2932	0,2049	0,1059	5	1	3	"100,00000000"	"plantation"	"mosaic"	3	"grassland"	-79,63333333	9,325	100	"tropical"	"Tabebuia rosea"	"yes"	"100,00000000"	""	25,6269999992
"86"	86	39	1	"Western Allegheny Plateau"	"Summerville_Thomas"	2004	"peer"	"richness"	"species_richnes"	"insects"	"moths"	""	"simpson"	"trees"	0	0,126	NA	0,175	9	NA	NA	NA	"forest"	"mosaic"	60	"forest"	-83,425031	39,928136	300	"temperate"	"pooled"	"pooled"	"250,00000000"	"wap"	10,3299256
"87"	87	39	1	"Western Allegheny Plateau"	"Summerville_Thomas"	2004	"peer"	"abundance"	"abundance"	"insects"	"moths"	""	"simpson"	"trees"	0	0,235	NA	0,239	9	NA	NA	NA	"forest"	"mosaic"	60	"forest"	-83,425031	39,928136	300	"temperate"	"pooled"	"pooled"	"250,00000000"	"wap"	10,3299256
"88"	88	39	1	"North-Central Till Plain"	"Summerville_Thomas"	2004	"peer"	"richness"	"species_richnes"	"insects"	"moths"	""	"simpson"	"trees"	0	0,006	NA	0,214	12	NA	NA	NA	"forest"	"mosaic"	60	"forest"	-83,425031	39,928136	300	"temperate"	"pooled"	"pooled"	"250,00000000"	"nct"	10,3299256
"89"	89	39	1	"North-Central Till Plain"	"Summerville_Thomas"	2004	"peer"	"abundance"	"abundance"	"insects"	"moths"	""	"simpson"	"trees"	0,034	0,436	NA	0,039	12	NA	NA	NA	"forest"	"mosaic"	60	"forest"	-83,425031	39,928136	300	"temperate"	"pooled"	"pooled"	"250,00000000"	""	10,3299256
"90"	90	62	1	"Sardinilla Experiment"	"Plath_al"	2010	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	-2,02	0,189	0,08764	0,2093	5	1	3	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-79,63333333	9,325	100	"tropical"	"Anarcardium excelsum"	"yes"	"100,00000000"	""	25,6269999992
"91"	91	100	1	"Sarapiqu° Plantations"	"Massad"	2012	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	1,313	0,003152	-0,163	0,895	4	1	2	"100,00000000"	"plantation"	"grassland"	5	"grassland"	-84	10	1420	"tropical"	"Dipteryx panamensis"	"yes"	"324,00000000"	""	18,4249999999998
"92"	92	100	1	"Sarapiqu° Plantations"	"Massad"	2012	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	-0,8021	0,001225	-0,6152	0,9344	4	1	2	"100,00000000"	"plantation"	"grassland"	5	"grassland"	-84	10	1420	"tropical"	"Cojoba arborea"	"yes"	"324,00000000"	""	18,4249999999998
"93"	93	111	1	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	-2,19289703	0,06949042	-0,08559451	0,52815123	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"S_microstachyum"	"yes"	"1024,00000000"	""	25,9660787011456
"94"	94	111	1	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	10,02673315	0,75564751	0,71492209	0,00505111	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"V_guatemalensis"	"yes"	"1024,00000000"	""	25,9660787011456
"95"	95	111	2	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	3,72215418	0,6941885	0,64321992	0,01020245	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"C_brasilience"	"yes"	"1024,00000000"	""	25,9660787011456
"96"	96	111	2	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	4,18381671	0,34844866	0,23985677	0,12342883	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"A_guachapete"	"yes"	"1024,00000000"	""	25,9660787011456
"97"	97	111	2	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	1,15415633	0,06844224	-0,08681738	0,53139477	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"D_panamensis"	"yes"	"1024,00000000"	""	25,9660787011456
"98"	98	111	2	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	2,9575256	0,46480119	0,37560139	0,06256622	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"V_koschnyi"	"yes"	"1024,00000000"	""	25,9660787011456
"99"	99	111	3	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	1,26957197	0,31474557	0,2005365	0,14796632	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"G_americana"	"yes"	"1024,00000000"	""	25,9660787011456
"100"	100	111	3	"La Selva Biological Station"	"Montagnini_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"p"	"shannon"	"trees"	0,42559515	0,07861159	-0,07495314	0,50119342	8	1	4	"100,00000000"	"plantation"	"mosaic"	2	"grassland"	-84,009501	10,429502	50	"tropical"	"V_ferruginea"	"yes"	"1024,00000000"	""	25,9660787011456
"101"	101	149	1	"Hainch National Park"	"Sobek_al"	2009	"peer"	"richness"	"species_richnes"	"insects"	"coleoptera"	""	"shannon"	"traps"	13,891	0,7258	0,6983	0,0004349	12	1	NA	NA	"forest"	"forest"	200	"forest"	10,512044	51,110747	220	"temperate"	"pooled"	"pooled"	"250,00000000"	""	8,09605959280646
"102"	102	174	1	"Hainch National Park"	"Sobek_al"	2009	"peer"	"richness"	"species_richnes"	"insects"	"true bugs"	""	"shannon"	"traps"	2,4815	0,8393	0,8233	2,835e-05	12	1	NA	NA	"forest"	"forest"	200	"forest"	10,512044	51,110747	220	"temperate"	"pooled"	"pooled"	"250,00000000"	""	8,09605959280646
"103"	102	112	1	"Satakunta"	"VehvilÑinen_Koricheva"	2006	"peer"	"damage"	"percentage_damage"	"mammals"	"voles"	"p"	"shannon"	"trees"	-2,633	0,06849	0,02968	0,1965	24	1	5	"100,00000000"	"plantation"	"forest"	2	"forest"	21,916667	61,683333	50	"boreal"	"Betula pendula"	"yes"	"400,00000000"	""	3,9
"104"	104	112	1	"Satakunta"	"VehvilÑinen_Koricheva"	2006	"peer"	"damage"	"percentage_damage"	"mammals"	"voles"	"p"	"shannon"	"trees"	-12,542	0,2047	0,1715	0,02031	24	1	5	"100,00000000"	"plantation"	"forest"	2	"forest"	21,916667	61,683333	50	"boreal"	"Larix sibirica"	"yes"	"400,00000000"	""	3,9
"105"	105	112	1	"Satakunta"	"VehvilÑinen_Koricheva"	2006	"peer"	"damage"	"percentage_damage"	"mammals"	"voles"	"p"	"shannon"	"trees"	-8,53	0,08956	0,05162	0,1375	24	1	5	"100,00000000"	"plantation"	"forest"	2	"forest"	21,916667	61,683333	50	"boreal"	"Pinus sylvestris"	"yes"	"400,00000000"	""	3,9
