"CASE_ID"	"STUDY_ID"	"FOREST_NR"	"FOREST_NAME"	"AUTHOR"	"YEAR"	"PEER_OR_GREY"	"DAMAGE_OR_HERBIVORES"	"UNITY"	"HERBIVORE_GUILD"	"HERBIVORE_SPECIES"	"HERBIVORE_SPECIFICITY"	"TREE_DIV_METRIC"	"SAMPLING_ON"	"BETA_ESTIMATE"	"R_SQUARE"	"R_SQUARE_ADJUSTED"	"P_VALUE"	"PLOT_NUMBER"	"MIN_RICH"	"MAX_RICH"	"MAX_DAMAGE_FOR_STANDARD"	"NATURAL_OR_PLANTATIONS"	"SURROUNDING"	"AGE_FOREST"	"FORMER_LAND_USE"	"GPS_DEZ_X"	"GPS_DEZ_Y"	"ALTITUDE"	"ECOREGION"	"FOCAL_SPECIES"	"JUST_FOCAL"	"PLOT_SIZE"	"X"	"bio1"
"16"	16	60	1	"Jokioinen Forest"	"VehvilÑinen"	2006	"peer"	"abundance"	"percentage_occupied"	"insects"	"aphids"	"o"	"shannon"	"trees"	2,535	0,2355	0,1591	0,1097	12	1	2	"100,00000000"	"plantation"	"forest"	19	"forest"	23,469642	60,791335	110	"boreal"	"Betula pendula"	"yes"	"1600,00000000"	"FIG2"	4,21161155923199
"17"	17	60	1	"Finnish Experiment"	"VehvilÑinen"	2006	"peer"	"abundance"	"percentage_occupied"	"insects"	"Acalitus rudis"	"o"	"shannon"	"trees"	-3,2104	0,8612	0,8473	1,349e-05	12	1	2	"100,00000000"	"plantation"	"forest"	19	"forest"	24,066667	62,533333	160	"boreal"	"Betula pendula"	"yes"	"1600,00000000"	"FIG3"	2,37000080000001
"18"	18	60	1	"Finnish Experiment"	"VehvilÑinen"	2006	"peer"	"abundance"	"percentage_occupied"	"insects"	"rollers"	"o"	"shannon"	"trees"	-2,4621	0,7544	0,7298	0,0002469	12	1	2	"100,00000000"	"plantation"	"forest"	19	"forest"	24,066667	62,533333	160	"boreal"	"Betula pendula"	"yes"	"1600,00000000"	"FIG3"	2,37000080000001
"19"	19	60	1	"Swedish Experiment"	"VehvilÑinen"	2006	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"o"	"shannon"	"trees"	-16,785	0,1391	0,05297	0,2325	12	1	2	"100,00000000"	"plantation"	"forest"	13	"forest"	14,909597	58,30942	110	"boreal"	"Betula pendula"	"yes"	"1600,00000000"	"FIG6"	6,08521600000001
"20"	20	60	1	"Finnish Experiment"	"VehvilÑinen"	2006	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	"o"	"shannon"	"trees"	13,318	0,1615	0,07651	0,1969	12	1	2	"100,00000000"	"plantation"	"forest"	19	"forest"	24,066667	62,533333	160	"boreal"	"Betula pendula"	"yes"	"1600,00000000"	"FIG5"	2,37000080000001
"21"	21	68	1	"Vernon Crookes"	"Botzat_al"	2013	"peer"	"abundance"	"abundance"	"insects"	"pooled"	""	"shannon"	"trees"	1,323	0,001598	-0,04378	0,8529	25	NA	NA	NA	"forest"	"mosaic"	200	"forest"	30,59433	-30,273509	370	"tropical"	"pooled"	"pooled"	"500,00000000"	""	18,9395495660161
"22"	22	68	1	"Vernon Crookes"	"Botzat_al"	2013	"peer"	"abundance"	"damage"	"insects"	"pooled"	""	"shannon"	"saplings"	2,97321	0,1109	0,07044	0,1119	24	NA	NA	NA	"forest"	"mosaic"	200	"forest"	30,59433	-30,273509	370	"tropical"	"pooled"	"pooled"	"500,00000000"	""	18,9395495660161
"23"	23	68	1	"Vernon Crookes"	"Botzat_al"	2013	"peer"	"abundance"	"damage"	"insects"	"pooled"	""	"shannon"	"saplings"	-3,298	0,2648	0,2281	0,01427	22	NA	NA	NA	"forest"	"mosaic"	200	"forest"	30,59433	-30,273509	370	"tropical"	"pooled"	"pooled"	"500,00000000"	""	18,9395495660161
"24"	24	72	1	"Doan Hung forest"	"Hung_al"	2011	"peer"	"damage"	"damage"	"insects"	"pooled"	""	"shannon"	"trees"	-14,32740445	0,31603125	-0,02595312	0,43783343	4	1	2	"100,00000000"	"plantation"	"plantation"	2	"plantation"	105,149287	21,607164	60	"subtropical"	"Chukrasia tabularis"	"yes"	"400,00000000"	""	22,9297722737665
"25"	25	72	1	"Doan Hung forest"	"Hung_al"	2011	"peer"	"damage"	"damage"	"insects"	"pooled"	""	"shannon"	"trees"	-0,53475896	0,00077335	-0,49883997	0,97219082	4	1	2	"100,00000000"	"plantation"	"plantation"	2	"plantation"	105,149287	21,607164	60	"subtropical"	"Canarium album"	"yes"	"400,00000000"	""	22,9297722737665
"26"	26	72	1	"Doan Hung forest"	"Hung_al"	2011	"peer"	"damage"	"damage"	"insects"	"pooled"	""	"shannon"	"trees"	-6,47818163	0,07850994	-0,38223508	0,71980374	4	1	2	"100,00000000"	"plantation"	"plantation"	2	"plantation"	105,149287	21,607164	60	"subtropical"	"Michelia mediocris"	"yes"	"400,00000000"	""	22,9297722737665
"27"	27	72	1	"Doan Hung forest"	"Hung_al"	2011	"peer"	"damage"	"damage"	"insects"	"pooled"	""	"shannon"	"trees"	-16,99831387	0,53132717	0,29699075	0,27107808	4	1	2	"100,00000000"	"plantation"	"plantation"	2	"plantation"	105,149287	21,607164	60	"subtropical"	"Eucalyptus urophylla"	"yes"	"400,00000000"	""	22,9297722737665
"28"	28	82	1	"Gisburn Forest"	"Moore_al"	1991	"peer"	"damage"	"damage"	"insects"	"pooled"	""	"shannon"	"trees"	2,068	0,2571	-0,4858	0,6615	3	1	2	NA	"plantation"	"forest"	30	"forest"	-2,616667	53,95	280	"temperate"	"Quercus petraea"	"yes"	"2025,00000000"	""	7,40700071999999
"29"	29	82	1	"Gisburn Forest"	"Moore_al"	1991	"peer"	"abundance"	"abundance"	"insects"	"galls"	"o"	"shannon"	"trees"	-3,6933	0,9948	0,9896	0,04586	3	1	2	NA	"plantation"	"forest"	30	"forest"	-2,616667	53,95	280	"temperate"	"Quercus petraea"	"yes"	"2025,00000000"	""	7,40700071999999
"30"	30	82	1	"Gisburn Forest"	"Moore_al"	1991	"peer"	"abundance"	"abundance"	"insects"	"lepidoptera"	""	"shannon"	"trees"	0,7839	0,03105	-0,4534	0,8238	4	1	2	NA	"plantation"	"forest"	32	"forest"	-2,616667	53,95	280	"temperate"	"Quercus petraea"	"yes"	"2025,00000000"	""	7,40700071999999
"31"	31	91	1	"Sierra Norte de Sevilla"	"Soria_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"Curculio elephans"	"o"	"shannon"	"trees"	3,557	0,02684	-0,05426	0,5757	14	1	2	"100,00000000"	"forest"	"mosaic"	200	NA	-5,583333	37,933333	600	"mediterranean"	"Quercus rotundifolia"	"yes"	"1,00000000"	"Plot size is one tree"	14,8950059199937
"32"	32	91	1	"Sierra Norte de Sevilla"	"Soria_al"	1995	"peer"	"damage"	"percentage_damage"	"insects"	"Curculio elephans"	"o"	"shannon"	"trees"	-4,06	0,04097	-0,03895	0,4877	14	1	2	"100,00000000"	"forest"	"mosaic"	200	NA	-5,583333	37,933333	600	"mediterranean"	"Quercus suber"	"yes"	"1,00000000"	"Plot size is one tree"	14,8950059199937
"33"	33	107	1	"Allegheny National Forest"	"Nuttle_al"	2011	"peer"	"abundance"	"abundance"	"insects"	"lepidoptera"	""	"shannon"	"trees"	1840,7	0,2877	0,2329	0,03927	15	NA	NA	NA	"forest"	"forest"	200	"forest"	-79,109688	41,639694	530	"temperate"	"pooled"	"pooled"	"400,00000000"	""	7,14272000000002
"34"	34	110	1	"Kibale National Park"	"Savilaakso_al"	2009	"peer"	"abundance"	"density"	"insects"	"lepidoptera"	""	"shannon"	"trees"	-14,25	0,03736	-0,2033	0,7317	6	NA	NA	NA	"forest"	"mosaic"	200	"forest"	30,442673	0,593487	1460	"tropical"	"Neoboutonia macrocalyx"	"pooled"	NA	""	19,7732240942272
"35"	35	110	1	"Kibale National Park"	"Savilaakso_al"	2009	"peer"	"damage"	"percentage_damage"	"insects"	"pooled"	""	"shannon"	"trees"	-0,27	0,009906	-0,2376	0,8512	6	NA	NA	NA	"forest"	"mosaic"	200	"forest"	30,442673	0,593487	1460	"tropical"	"Neoboutonia macrocalyx"	"pooled"	NA	""	19,7732240942272
"36"	36	110	1	"Kibale National Park"	"Savilaakso_al"	2009	"peer"	"richness"	"species_richnes"	"insects"	"lepidoptera"	""	"shannon"	"trees"	-0,6228	0,006468	-0,2419	0,8796	6	NA	NA	NA	"forest"	"mosaic"	200	"forest"	30,442673	0,593487	1460	"tropical"	"Neoboutonia macrocalyx"	"pooled"	NA	""	19,7732240942272
